user_id	pos	neg
148	186,160,216,239,309,351,336,214,53	2,258,194,291,132
149	287,181,127,239,313	352,33,8,264,329
150	279,138,137,160,13,54,68,198,365	191,194,35,196,74
151	181,283,215,321,332	194,197,262,329,170
152	255,328,335,290,341	96,350,98,323,355
153	255,335,215,322,329,94,365	291,195,227,40,328
154	215,337,241,364,366	33,3,229,166,264
155	286,302,46,347,293	320,129,355,164,229
156	24,49,189,354,111,205,210,196	192,193,97,69,103
157	127,197,221,156,167,365,233	289,162,361,75,171
158	350,155,102,282,320,229	192,130,67,230,295
159	31,306,260,297,359	97,66,4,262,71
160	55,186,255,63,33,329,351,295,341	101,294,326,169,331
161	154,64,143,157,305,250	322,163,227,153,74
162	279,144,184,154,182,255,328,110,161,276,286,355,58,157,176,188,322,19,51,65,111,191	99,36,262,303,80
163	71,161,149,197,170	321,355,294,40,169
164	228,149,209,247,322,347,148,297,29,202,59,159	161,3,263,328,104
165	8,279,144,2,90,84,197,342	350,259,196,58,236
166	8,72,125,10,292,352	129,197,358,74,42
167	279,154,255,215,227,294,296,302,160,271,288,329,347,25,32,40,54,269,315,319,343	33,290,70,167,231
168	108,119,302,306,157,247,354,43,40,146,359	97,344,37,198,230
169	335,286,66,247,65,17,57,243,293	90,327,40,108,45
170	234,316,187,21,159	260,198,263,265,172
171	11,123,323,235,303,36	288,193,258,66,322
172	55,182,335,58,322,140,342,270	32,97,162,69,42
173	108,276,34,156,195,278	66,134,40,238,46
174	247,350,354,230,252,340	256,64,326,135,328
175	138,177,76,191,72,132,146,73,102,105,126,273	160,0,258,352,260
176	8,23,58,76,15,75,162,240,299,153,348,152,244,285	320,69,328,107,140
177	193,355,24,61,197,230,311,26,264	354,226,356,293,233
178	63,275,35,22,274	228,326,136,269,206
179	108,135,312,276,266,28,275,309	185,132,37,137,301
180	291,66,65,140,34,192,219,320,252,278,310	1,67,292,166,296
181	64,161,49,74,145	33,69,135,40,201
182	157,6,69,59,356	0,193,34,197,360
183	239,6,223,217,36	325,230,166,263,31
184	283,51,65,288,309,25,281,158,273	193,66,67,130,359
185	276,354,14,85,324,167,259	0,134,232,41,266
186	164,172,240,257,254,352,361	161,290,66,285,296
187	63,191,253,22,159	352,193,192,166,6
188	12,291,161,205,29,204,303,120,213,357	160,292,11,108,43
189	12,181,49,171,77,339,285	224,35,228,196,260
190	11,177,227,276,294,176,354,93,297,326,364,107,158,173	320,160,322,192,196
191	177,172,212,18,21	32,291,263,296,237
192	189,234,301,322,300,336,342,364	352,160,34,35,132
193	287,283,11,64,337,299,359,242,318	224,226,344,135,298
194	275,6,281,156,253	352,193,259,197,38
195	188,201,221,248,245,232,361	194,323,291,69,8
196	182,294,106,176,305,358,262,196	192,261,133,360,168
197	108,119,85,191,148,333,243	99,165,71,135,265
198	234,301,322,345,229,264	131,260,261,71,137
199	142,296,337,247,13,41,131,316,68,84,212,121,125,298,116,211,272,356	225,259,35,231,329
200	306,301,316,359,366,270	67,360,169,72,42
201	123,312,178,221,313,179,311,365,307	35,4,136,171,237
202	143,145,347,358,219,26,304	1,36,134,262,102
203	9,137,72,94,73	196,328,41,168,332
204	160,200,290,260,345,210,250,360,231,270	288,353,67,166,6
205	138,44,96,137,68	225,34,67,6,106
206	48,279,335,266,358,128,219	191,4,38,328,41
207	328,215,294,200,301,155,364	195,100,292,199,41
208	12,144,154,28,351,140,342,334	320,131,260,4,7
209	184,182,328,106,266,28,155,334	258,35,67,322,323
210	31,44,193,78,298,331	288,34,290,261,197
211	12,279,135,2,47,354,111,127,131,199,343	321,258,194,56,262
212	88,193,296,178,347,67,136,199,268,313,330,343,37,194,222,263,89,203,231,237,289,292,346	288,226,262,72,169
213	287,291,337,260,324,345	129,194,196,327,9
214	184,182,110,294,337,355,106,209,14,33,201,241,94,155,269,295,343	229,135,103,297,79
215	71,144,286,234,6,269,341,250,253	2,36,166,265,14
216	62,62,161,97,25,140,358,87	226,130,68,164,228
217	287,55,181,63,215,58,188,19,329,351,342	192,289,225,356,325
218	71,138,247,41,15	193,162,355,291,165
219	31,110,306,178,205,32,117,125,238,353	313,234,13,174,237
220	9,24,354,131,205,84,295,179,202,204,210,256,365,129,207,289	226,130,132,358,103
221	41,77,224,282,356	97,227,164,132,197
222	184,154,335,110,46,189,336,285	224,289,195,356,291
223	119,138,337,23,106,149,324,199,319,330,336,202,367	96,257,129,260,132
224	8,8,11,11,193,355,19,268	224,32,162,165,198
225	12,71,138,64,134,137,143,145,157,347,162	227,230,103,106,172
226	55,41,51,125,265,277	89,193,33,99,185
227	135,184,182,227,23,201,316,326	128,358,40,265,328
228	12,181,119,135,184,328,193,215,227,296,200,216,131,205,260,288	289,290,2,36,35
229	83,44,24,49,239,78,217,230,311,104	97,194,350,300,365
230	302,200,309,180,194,304	32,97,98,291,202
231	8,100,355,249,224,60,267,346	96,257,354,67,195
232	127,92,179,198,204,365,289,304	129,66,165,41,74
233	144,9,46,90,143,246,67,171,79,168,339,367,236,338	288,257,196,228,137
234	184,227,241,300,67,339,338	64,36,260,154,9
235	135,184,110,215,294,176,200,329,265,334	350,227,293,199,103
236	350,171,187,248,29,349	322,292,229,38,71
237	350,14,76,72,117,281,102	70,326,198,137,330
238	131,93,70,274,317	320,2,106,140,237
239	12,283,255,30,96,100,177,90,97,134,350,94,117,172,78,82,175,230	312,67,294,262,265
240	135,51,85,91,277	64,0,358,73,42
241	283,83,96,177,90,191,180,341	0,291,4,296,361
242	151,212,126,158,195,272,280	193,67,228,133,102
243	48,83,312,30,100,23,46,189,13,41,43,225,275,39,132,180,268,295,327	227,8,360,107,172
244	31,119,228,88,186,335,44,355,216,324,351,187,249	320,289,69,37,135
245	279,182,255,312,328,101,294,355,176,257,206,352,353	129,161,2,323,195
246	283,63,56,282,236	98,131,101,357,199
247	62,101,350,358,26,50	162,291,356,168,232
248	279,31,119,135,291,182,255,142,215,296,302,306,200,301,300	322,358,6,138,268
249	31,337,179,318,133	225,344,166,41,170
250	8,291,188,146,326,17,121,165,256,147,211	32,33,325,135,264
251	186,255,302,205,295,367	32,98,323,3,39
252	48,287,119,135,312,294,200,209	289,197,40,299,44
253	283,71,138,228,63,100,137,103,73	321,229,328,44,237
254	48,111,248,305,313,367,206,278	129,2,325,229,202
255	287,119,176,216,234,111,178,180,248,327,27,208	256,318,230,295,296
256	48,350,330,45,196	128,65,353,291,101
257	144,291,193,322,17,208,318	230,231,328,41,42
258	55,300,329,327,208,112,207	128,99,291,356,232
259	119,138,228,110,143,145,290,347,359,214,219,366	224,258,291,226,101
260	58,76,15,75,162,240,153,152,244	356,199,233,44,303
261	66,77,115,59,141,147,325	256,35,229,134,199
